Used 2015 RAM 1500 Express,"23,991",Multiple Owners,Accident / Damage Reported,GREAT,"69,375",4 wheel drive,8-Cylinder,6-Speed Automatic,Gasoline,"6'5""",16 City / 23 Highway,Bright Silver Metallic Clearcoat
Used 2018 Ford Edge FWD Titanium,"24,991",Multiple Owners,No Accident / Damage Reported,GREAT,"29,121",2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,20 City / 29 Highway,Lightning Blue Metallic,Dune
Used 2020 Ford Mustang Coupe,"25,491",One Owner,No Accident / Damage Reported,GREAT,"5,715",2 wheel drive - rear,4-Cylinder Turbo,Information Unavailable,Gasoline,Information Unavailable,Race Red,Ebony
Used 2017 Lexus IS 300 AWD,"28,691",One Owner,No Accident / Damage Reported,GREAT,"37,951",All wheel drive,6-Cylinder,6-Speed Automatic,Gasoline,19 City / 26 Highway,Atomic Silver,Black
Used 2020 Chevrolet Silverado 1500 4x4 Crew Cab Custom,"39,991",,,GREAT,693,4 wheel drive,8-Cylinder,6-Speed Automatic,Gasoline,"5'10""",15 City / 20 Highway,Summit White
Used 2017 Nissan Titan SV,"30,295",One Owner,No Accident / Damage Reported,GREAT,"42,015",4 wheel drive,8-Cylinder,7-Speed Automatic,Gasoline,"5'6""",15 City / 21 Highway,Glacier White
Used 2016 Jeep Wrangler 4WD Unlimited Sport w/ RHD,,Multiple Owners,No Accident / Damage Reported,,"66,810",4 wheel drive,6-Cylinder,5-Speed Automatic,Gasoline,16 City / 20 Highway,Bright White Clearcoat,Black W/Cloth Seats W/Adjustab
Used 2018 Ford Fusion S,"15,765",Multiple Owners,No Accident / Damage Reported,GREAT,"11,947",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Gasoline,21 City / 32 Highway,Gray,Medium Light Stone
Used 2019 Nissan Kicks SV,"16,498",One Owner,No Accident / Damage Reported,GREAT,"1,980",2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Gasoline,31 City / 36 Highway,Super Black,Charcoal
Used 2018 Nissan Rogue S,"17,994",One Owner,No Accident / Damage Reported,GREAT,"17,301",2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Gasoline,26 City / 33 Highway,Blue,Charcoal
