,year,brand,make_model,price,price_bin,price_rating,mileage,mileage_15,mpg_city,mpg_highway,combined_mpg,condition,accident,one_owner,drive_type,fuel_type,engine,engine_#,automatic,turbo,electric,transmission,trans_#,interior,exterior,color
196,2018,3,Ford Focus SE Hatchback,14990.0,3,1,20910,4,26,38,64,1,1,1,0,1,4-Cylinder,4,1,0,0,6-Speed Automatic,6,N/A,White,White
197,2020,3,Ford Expedition Max 4WD Platinum,74554.0,14,0,0,0,16,21,37,3,1,1,1,0,6-Cylinder Turbo,6,1,1,0,10-Speed Automatic,10,Ebony,Magnetic Metallic - Gray,Metallic
198,2015,12,Nissan Titan SV,25464.0,8,2,59243,12,5,0,5,1,0,0,1,0,8-Cylinder,8,1,0,0,5-Speed Automatic,5,Silver,N/A,N/A
199,2013,3,Ford F150 FX4,25488.0,8,2,93581,14,14,19,33,1,0,1,1,0,6-Cylinder Turbo,6,1,1,0,6-Speed Automatic,6,Black,Tuxedo Black Metallic,Black
200,2017,3,Ford Explorer FWD XLT,26689.0,9,2,31061,7,19,27,46,2,1,1,0,0,4-Cylinder Turbo,4,1,1,0,6-Speed Automatic,6,Ebony,Canyon Ridge Metallic,Metallic
201,2016,14,Lincoln MKX AWD Reserve,26989.0,9,2,43596,10,17,24,41,2,1,0,1,0,6-Cylinder Turbo,6,1,1,0,6-Speed Automatic,6,N/A,Ruby Red Metallic Tinted Clearcoat,Red
202,2018,21,MINI Cooper Countryman S ALL4,27946.0,9,2,20854,4,21,31,52,1,1,1,1,0,4-Cylinder Turbo,4,1,1,0,6-Speed Shiftable Automatic,6,Black,Light White,White
203,2020,5,Chrysler Pacifica Touring-L,40430.0,13,0,10,0,19,28,47,3,1,1,0,0,6-Cylinder,6,1,0,0,9-Speed Automatic,9,Black,Billet Silver Metallic Clearcoat,Silver
204,2014,3,Ford F150 SuperCrew Platinum,28977.0,10,2,78743,13,14,19,33,1,1,0,1,1,8-Cylinder,8,1,0,0,6-Speed Automatic,6,N/A,Tuxedo Black Metallic,Black
205,2017,22,BMW X3 xDrive35i,29352.0,10,2,33811,7,19,26,45,1,1,0,1,0,6-Cylinder Turbo,6,1,1,0,8-Speed Automatic,8,Black,Jet Black,Black
206,2014,3,Ford F150 SuperCrew Platinum,29589.0,10,2,81221,13,14,19,33,1,1,0,1,0,6-Cylinder Turbo,6,1,1,0,6-Speed Automatic,6,Black,White Platinum Metallic Tri-Coat,White
207,2014,8,GMC Sierra 1500 SLT,29995.0,10,2,86806,13,5,0,5,1,1,0,1,1,8-Cylinder,8,1,0,0,6-Speed Automatic,6,Metallic,N/A,N/A
208,2018,16,Jeep Grand Cherokee 4WD Limited,30481.0,11,2,22091,4,18,25,43,1,0,1,1,0,6-Cylinder,6,1,0,0,8-Speed Automatic,8,Beige,Velvet Red Pearlcoat,Red
209,2016,3,Ford F150 XLT,32854.0,11,2,57888,11,17,23,40,1,1,1,1,0,6-Cylinder Turbo,6,1,1,0,6-Speed Automatic,6,Black,Ingot Silver Metallic,Ingot
210,2016,2,Dodge Challenger R/T Scat Pack,32947.0,11,1,51263,11,14,23,37,1,1,1,2,0,8-Cylinder,8,0,0,0,6-Speed Manual,6,Black,Maximum Steel Metallic Clearcoat,Metallic
